Policy,Associativity,CacheSize,BlockSize,Hits,Misses,HitRate,TraceFile
lru,1,1024,64,230993,72200,76.19,swim.trace
lru,1,2048,64,248285,54908,81.89,swim.trace
lru,1,4096,64,285247,17946,94.08,swim.trace
lru,1,8192,64,292767,10426,96.56,swim.trace
lru,1,16384,64,296867,6326,97.91,swim.trace
lru,4,1024,64,259472,43721,85.58,swim.trace
lru,4,2048,64,292115,11078,96.35,swim.trace
lru,4,4096,64,296172,7021,97.68,swim.trace
lru,4,8192,64,298661,4532,98.51,swim.trace
lru,4,16384,64,299449,3744,98.77,swim.trace
lru,4,16384,16,291463,11730,96.13,swim.trace
lru,4,16384,32,296527,6666,97.80,swim.trace
lru,4,16384,64,299449,3744,98.77,swim.trace
lru,4,16384,128,301053,2140,99.29,swim.trace
lru,1,16384,64,296867,6326,97.91,swim.trace
lru,2,16384,64,299111,4082,98.65,swim.trace
lru,4,16384,64,299449,3744,98.77,swim.trace
lru,8,16384,64,299484,3709,98.78,swim.trace
lru,256,16384,64,299549,3644,98.80,swim.trace
fifo,1,1024,64,230993,72200,76.19,swim.trace
fifo,1,2048,64,248285,54908,81.89,swim.trace
fifo,1,4096,64,285247,17946,94.08,swim.trace
fifo,1,8192,64,292767,10426,96.56,swim.trace
fifo,1,16384,64,296867,6326,97.91,swim.trace
fifo,4,1024,64,254296,48897,83.87,swim.trace
fifo,4,2048,64,288988,14205,95.31,swim.trace
fifo,4,4096,64,294358,8835,97.09,swim.trace
fifo,4,8192,64,297303,5890,98.06,swim.trace
fifo,4,16384,64,298822,4371,98.56,swim.trace
fifo,4,16384,16,290144,13049,95.70,swim.trace
fifo,4,16384,32,295647,7546,97.51,swim.trace
fifo,4,16384,64,298822,4371,98.56,swim.trace
fifo,4,16384,128,300584,2609,99.14,swim.trace
fifo,1,16384,64,296867,6326,97.91,swim.trace
fifo,2,16384,64,298604,4589,98.49,swim.trace
fifo,4,16384,64,298822,4371,98.56,swim.trace
fifo,8,16384,64,298839,4354,98.56,swim.trace
fifo,256,16384,64,298884,4309,98.58,swim.trace
lru,1,1024,64,428856,86827,83.16,gcc.trace
lru,1,2048,64,458735,56948,88.96,gcc.trace
lru,1,4096,64,488882,26801,94.80,gcc.trace
lru,1,8192,64,496982,18701,96.37,gcc.trace
lru,1,16384,64,506361,9322,98.19,gcc.trace
lru,4,1024,64,474784,40899,92.07,gcc.trace
lru,4,2048,64,491279,24404,95.27,gcc.trace
lru,4,4096,64,501926,13757,97.33,gcc.trace
lru,4,8192,64,509502,6181,98.80,gcc.trace
lru,4,16384,64,510978,4705,99.09,gcc.trace
lru,4,16384,16,503048,12635,97.55,gcc.trace
lru,4,16384,32,508326,7357,98.57,gcc.trace
lru,4,16384,64,510978,4705,99.09,gcc.trace
lru,4,16384,128,512006,3677,99.29,gcc.trace
lru,1,16384,64,506361,9322,98.19,gcc.trace
lru,2,16384,64,510125,5558,98.92,gcc.trace
lru,4,16384,64,510978,4705,99.09,gcc.trace
lru,8,16384,64,511178,4505,99.13,gcc.trace
lru,256,16384,64,511250,4433,99.14,gcc.trace
fifo,1,1024,64,428856,86827,83.16,gcc.trace
fifo,1,2048,64,458735,56948,88.96,gcc.trace
fifo,1,4096,64,488882,26801,94.80,gcc.trace
fifo,1,8192,64,496982,18701,96.37,gcc.trace
fifo,1,16384,64,506361,9322,98.19,gcc.trace
fifo,4,1024,64,469181,46502,90.98,gcc.trace
fifo,4,2048,64,487345,28338,94.50,gcc.trace
fifo,4,4096,64,498506,17177,96.67,gcc.trace
fifo,4,8192,64,508253,7430,98.56,gcc.trace
fifo,4,16384,64,510286,5397,98.95,gcc.trace
fifo,4,16384,16,502218,13465,97.39,gcc.trace
fifo,4,16384,32,507612,8071,98.43,gcc.trace
fifo,4,16384,64,510286,5397,98.95,gcc.trace
fifo,4,16384,128,511170,4513,99.12,gcc.trace
fifo,1,16384,64,506361,9322,98.19,gcc.trace
fifo,2,16384,64,509632,6051,98.83,gcc.trace
fifo,4,16384,64,510286,5397,98.95,gcc.trace
fifo,8,16384,64,510472,5211,98.99,gcc.trace
fifo,256,16384,64,510570,5113,99.01,gcc.trace
lru,4,1024,64,2,3,40.00,read01.trace
fifo,4,2048,64,9,1,90.00,read02.trace
lru,8,4096,128,8,1,88.89,read03.trace
fifo,2,8192,32,0,7,0.00,read04.trace
lru,4,16384,64,2,5,28.57,read05.trace
fifo,1,1024,16,0,7,0.00,read06.trace
lru,8,2048,64,3,5,37.50,read08.trace
fifo,4,4096,64,2,3,40.00,write01.trace
